level_samples_per_window,behavior,run_idx,seed,decisions,offered_fragments_per_second,measurement_seconds,actual_queries_per_second,actual_fragments_per_second,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,fpr_legacy,fpr_combined,fpr_volume,fpr_entropy,fpr_unique,entropy_mean,entropy_p95,samples_mean,unique_ratio_mean,raw_decisions_file,raw_decisions_sha256
36,sequential,5,23870930,300,17.500000,18.360651,16.339290,16.339290,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.0474,5.4263,33.410,1.0000,raw_decisions/main/sequential/level_36/run_05_seed_23870930.jsonl,312c9358bd903f0c91f099f0e99b8d426d75c3bb0bbf1714b20d74b48687c6be
36,sequential,6,23870931,300,17.500000,18.039667,16.630019,16.630019,300,282,282,300,300,1.000000,0.940000,0.940000,1.000000,1.000000,5.0447,5.4263,33.613,1.0000,raw_decisions/main/sequential/level_36/run_06_seed_23870931.jsonl,bbd90cda8332e8700cbe8efdcfb096439c2df41341020df21eebc9f44d5cacf9
36,sequential,7,23870932,300,17.500000,16.641033,18.027727,18.027727,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.1821,5.5546,36.693,1.0000,raw_decisions/main/sequential/level_36/run_07_seed_23870932.jsonl,e35361f97ff26074201c9694105a2ea6253c82c240b44af20c0345e103a78fc9
36,sequential,8,23870933,300,17.500000,16.164704,18.558954,18.558954,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.2536,5.4594,38.297,1.0000,raw_decisions/main/sequential/level_36/run_08_seed_23870933.jsonl,a99b11cc814ad45181b7ff3f7b2e81935f0415301df93c2f21e379f1ede1d04e
36,sequential,9,23870934,300,17.500000,17.051457,17.593805,17.593805,300,284,284,300,300,1.000000,0.946667,0.946667,1.000000,1.000000,5.0959,5.5236,34.940,1.0000,raw_decisions/main/sequential/level_36/run_09_seed_23870934.jsonl,28dd3f958e3b8887c2dd849c7188a89aab9aa3f43fff18466e00a8b84e19ac9d
36,sequential,10,23870935,300,17.500000,16.506741,18.174393,18.174393,300,290,290,300,300,1.000000,0.966667,0.966667,1.000000,1.000000,5.1738,5.4263,36.490,1.0000,raw_decisions/main/sequential/level_36/run_10_seed_23870935.jsonl,d0d671549b4c43df6c7dfa1872746e74f25b8b2d985c17252510392368e485cf
36,sequential,11,23870936,300,17.500000,17.739209,16.911690,16.911690,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.1217,5.3923,35.070,1.0000,raw_decisions/main/sequential/level_36/run_11_seed_23870936.jsonl,24f3296bf9b058675d35cb31cd3de8830be1b08e33b637804a250117e12a1f4d
36,sequential,12,23870937,300,17.500000,18.264940,16.424910,16.424910,300,286,286,300,300,1.000000,0.953333,0.953333,1.000000,1.000000,5.0791,5.5546,34.633,1.0000,raw_decisions/main/sequential/level_36/run_12_seed_23870937.jsonl,f5092ad590e6126f57c87720d168f6ee33d377167df7355620cc67500806272d
36,sequential,13,23870938,300,17.500000,18.244866,16.442982,16.442982,300,288,288,300,300,1.000000,0.960000,0.960000,1.000000,1.000000,5.0474,5.4279,33.607,1.0000,raw_decisions/main/sequential/level_36/run_13_seed_23870938.jsonl,c62bc6d9bd16401ca6e87ffc022864d01ff37a7ce8ebb253ee28ae54f62804a6
36,sequential,14,23870939,300,17.500000,17.905343,16.754775,16.754775,300,284,284,300,300,1.000000,0.946667,0.946667,1.000000,1.000000,5.0902,5.4263,34.723,1.0000,raw_decisions/main/sequential/level_36/run_14_seed_23870939.jsonl,b027128fc755e9be17791dbe6f269d9dbf524d0f586136d909cce94f98890096
36,sequential,15,23870940,300,17.500000,18.006313,16.660824,16.660824,300,272,272,300,300,1.000000,0.906667,0.906667,1.000000,1.000000,5.0630,5.5236,34.297,1.0000,raw_decisions/main/sequential/level_36/run_15_seed_23870940.jsonl,7f9bd89a3ff37731dee32b1d4f6a860ccaf492a3ac4dafdc868d9504d566dbfa
36,sequential,16,23870941,300,17.500000,17.808380,16.846002,16.846002,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.1278,5.5236,35.493,1.0000,raw_decisions/main/sequential/level_36/run_16_seed_23870941.jsonl,a410237d029e000935576e697c8109d7e2e863f11d0e84ecf5e268b5cb860f11
36,sequential,17,23870942,300,17.500000,15.432635,19.439325,19.439325,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.2610,5.5850,38.633,1.0000,raw_decisions/main/sequential/level_36/run_17_seed_23870942.jsonl,0dbd15338280613f4954e0490e0e3d09e0ddd64dc5ae890f113010b21bca8ce0
36,sequential,18,23870943,300,17.500000,17.444762,17.197139,17.197139,300,299,299,300,300,1.000000,0.996667,0.996667,1.000000,1.000000,5.0830,5.3923,34.233,1.0000,raw_decisions/main/sequential/level_36/run_18_seed_23870943.jsonl,4cee60cfff4f182b9ce0e34c664ab093ec7c5cd7932d37d71572129127dd6504
36,sequential,19,23870944,300,17.500000,17.086794,17.557419,17.557419,300,289,289,300,300,1.000000,0.963333,0.963333,1.000000,1.000000,5.1218,5.4594,35.397,1.0000,raw_decisions/main/sequential/level_36/run_19_seed_23870944.jsonl,0cb193360108d2908c8624b1f0b0fd3eb9046b2850b70b0068ddffe1c5821b11
