source_experiment,source_artifact,source_hash,scope,attack_condition,benign_condition,level,variant_or_comparison,metric,estimate,ci95_low,ci95_high,n_independent_units,independent_unit,inference_method,measurement_status,notes
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,12,traffic_feature,samples,11.800333333333334,11.501688548140374,12.098978118526295,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,12,traffic_feature,entropy,2.9071304490356376,2.8753645426814107,2.9388963553898644,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,12,traffic_feature,unique_ratio,0.7249703464229381,0.7153652795242064,0.7345754133216699,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,18,combined,benign_trigger_rate,0.0,0.0,0.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,18,traffic_feature,samples,18.05983333333333,17.58463314888287,18.53503351778379,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,18,traffic_feature,entropy,3.254823002355841,3.2309472572117643,3.2786987474999174,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,18,traffic_feature,unique_ratio,0.6133786851652647,0.6051974701028972,0.6215599002276323,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,24,combined,benign_trigger_rate,0.0,0.0,0.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,24,traffic_feature,samples,23.71516666666667,23.13054904924067,24.299784284092667,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,24,traffic_feature,entropy,3.45507665136898,3.4339602804684,3.4761930222695603,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,24,traffic_feature,unique_ratio,0.5394070498030803,0.5297327668240787,0.5490813327820819,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,36,combined,benign_trigger_rate,0.0,0.0,0.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,36,traffic_feature,samples,36.46150000000001,35.62206605635032,37.300933943649696,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,36,traffic_feature,entropy,3.6508471866737735,3.631403882046531,3.670290491301016,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,36,traffic_feature,unique_ratio,0.4016720565232691,0.3926224373797497,0.41072167566678847,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,60,combined,benign_trigger_rate,0.0,0.0,0.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,60,traffic_feature,samples,59.88283333333334,58.490430594333034,61.27523607233364,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,60,traffic_feature,entropy,3.800431773088394,3.7863753883347275,3.81448815784206,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,60,traffic_feature,unique_ratio,0.2644263711131662,0.2589676623750551,0.2698850798512773,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,120,combined,benign_trigger_rate,0.0,0.0,0.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,120,traffic_feature,samples,119.61216666666667,116.58810295464491,122.63623037868842,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,120,traffic_feature,entropy,3.9005715562638557,3.890688780751352,3.9104543317763594,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,120,traffic_feature,unique_ratio,0.13463375834767605,0.13127446058607378,0.1379930561092783,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,smallpool16,300,combined,benign_trigger_rate,0.0,0.0,0.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
