behavior,phase,level,run,seed,space,configuration,rate
random2048,main,24,13,22660895,2048,locked,0.0
random2048,main,24,13,22660895,65536,initial,0.4266666666666667
random2048,main,24,13,22660895,65536,locked,0.0
random2048,main,24,14,22660896,2048,initial,0.5933333333333334
random2048,main,24,14,22660896,2048,locked,0.0
random2048,main,24,14,22660896,65536,initial,0.5933333333333334
random2048,main,24,14,22660896,65536,locked,0.0
random2048,main,24,15,22660897,2048,initial,0.5133333333333333
random2048,main,24,15,22660897,2048,locked,0.0
random2048,main,24,15,22660897,65536,initial,0.5133333333333333
random2048,main,24,15,22660897,65536,locked,0.0
random2048,main,24,16,22660898,2048,initial,0.5666666666666667
random2048,main,24,16,22660898,2048,locked,0.0
random2048,main,24,16,22660898,65536,initial,0.5666666666666667
random2048,main,24,16,22660898,65536,locked,0.0
random2048,main,24,17,22660899,2048,initial,0.5333333333333333
random2048,main,24,17,22660899,2048,locked,0.0
random2048,main,24,17,22660899,65536,initial,0.5333333333333333
random2048,main,24,17,22660899,65536,locked,0.0
random2048,main,24,18,22660900,2048,initial,0.43333333333333335
random2048,main,24,18,22660900,2048,locked,0.0
random2048,main,24,18,22660900,65536,initial,0.43333333333333335
random2048,main,24,18,22660900,65536,locked,0.0
random2048,main,24,19,22660901,2048,initial,0.44666666666666666
random2048,main,24,19,22660901,2048,locked,0.0
random2048,main,24,19,22660901,65536,initial,0.44666666666666666
