policy,workload,rep,trial_id,packet_sha256,time_ns,matching_head_seen_at_ingress,samples,orphan_count,orphan_ratio,orphan_majority,orphan_any
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t009-1e51ffc0,89832ff1466ace780263f61a484407c7edb006f603c32bfbbec649f2e05c4a0b,1789119647102864943,True,257,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t010-cf25a459,a5d00aedd56e1f3b394906f15f1567b5b1d0e630b06da70ea5d17f1d9c14fa60,1789119647415963105,True,237,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t011-46f598a7,22ab264a8487dd3a59c6fcab0ae855b961aebd84b8d6349d2f5378b8d55b7ada,1789119647775673300,True,243,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t012-8f104774,83d7dd8d4f1e2a7889b2e3dcdce6630d3cba300f45c4663f11c1a0d46042e211,1789119648135566951,True,316,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t013-10261df3,6024f64c4a53240b031a2da80ce986e2ba5e2d297f9c9da73672d390a9343918,1789119648475512635,True,385,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t014-58073054,b11782d31de5a506d0118303da6471945c8c4bc5fd37f9cb8141fbedd2b72cae,1789119648802966574,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t015-7c5a9eb2,1a9efffe2226e7efb49083493b7d821901f986622eecee1b584586696c2aa4fe,1789119649142944027,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t016-852074c8,cfaf85b82f42f0b48dde224ca47213d573e0dbdd1000dd9cfac84d32767d4e1a,1789119649490972809,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t017-15a6036c,516146fb5654458f408f4e1c8097b0ccafd0adc5fb15190f8e2d44650ca50e4c,1789119649830941867,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t018-776072f2,c01949b7f71df93d1db8a9ced0e31c11b0c9baf26e5208de53daf9f8a2c139f4,1789119650183108551,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t019-6eba881c,f2a64d92108c09eb90af863e1f3ffef7651b6ceec96b4d292b229df1c2f86050,1789119650542202458,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t020-0d49b29e,95d67361e9519b16f4fab1a080a66f63d0ade57b2ae491ea534af2c65d082e90,1789119650887056787,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t021-0192f602,539a922093d76ae0090aac2e20a5f557f0c3f81e0512a19c6a9ddb6bd6705641,1789119651231140613,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t022-44ab5c56,8398fabdd47b3d4201b31ae7c2d89bbae092e8238108d82f503cadc3ec70f115,1789119651571025034,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t023-c6fe65da,80aad9d7ea94435140acd49f0bb75903eb9fa47325384b80a9b2e11e92e54ed6,1789119651915646696,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t024-ca9ef7cf,4a77a61982c2b67418f71157c79ee05d19867042ee1ba78c161327ce5bf57d41,1789119652250843850,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t025-7b9096cd,bbba3965e13213cac11dda69be25d2be9fc2d9ff051f0a2adc48d1fb5d15361e,1789119652607287195,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t026-bd4f42dc,be9617fa7669bb16cff8ab47d8a863078830f298c1183d36c830048185ec5290,1789119652936057073,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t027-61d567ae,72494fb22b113fe2f3193f7cabffa7a7b9685c816537b6e517141b534c3c5e9d,1789119653291068147,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t028-97a975f7,20b762361dba0061a531d5d8a642961966b53170aa3c953c54c16ab780c4facc,1789119653655574167,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t030-e6becba3,7e9311e820b1e387ff9f9f3c434ee3b9b9b2b126be03271f557ed1416a223b15,1789119653998932609,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t029-bd201f72,779716073ea123f094fe8cd1a6b7aa4cd14ffd1153ff8b5a50de3325c96ab872,1789119654358890905,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t031-bf7fea1f,79fddf3a29231a66adef3efd1aef6223df2817cf796f69fb7395c97ae9ec7cb2,1789119654702870249,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t032-946cab4e,a95b36734522eca394e8d7fcabed10c81477b778a59b4e6050328cf92a09c618,1789119655082859680,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t033-991bd4f7,fb39df65ca627d7a12c7968f44c276798b4075e2993f8cf9a545a01e6585461c,1789119655447241958,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t034-0f7aaa73,dc128296bbce22c95ad269149897ade33b790353fb93814f99b4cb9700a42b58,1789119655802895065,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t035-103bf772,d33d726c2163c7cdcf37526c76640c9e55d6246fec06916a965e1bf5757f049b,1789119656175699822,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t036-3b79517c,a39f4aaf3bb94202ede31dcac476461dfb368a55afb317cbadea0dd929a5a507,1789119656542888577,True,402,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t037-6d960a61,64fb8792e4e22939c9897684ec98db90be493b5037d20c43926dbd4cc2f8167c,1789119656918914540,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t000-0bd3c8f0,cae8be841a893b6e2b00619d743ab7a11db6fe5fc253b649828564c2127ea6e7,1789119657287012992,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t038-2e6b0fd7,a564bf9ae8fbd1d4d946182fb63debfd60e179095fc7b0cd85766465f4bb871a,1789119657638877392,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t001-28d1f6b8,511faba07a00110600aa07830d31a9950416d2b96dec51d805df239450549513,1789119657982904329,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t039-4eac1dc5,ffa53a5fb2a09345dd0a59194d492e44996e611e56c466beef6e27e9a4950a11,1789119658326934692,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t002-e2a3dfd2,ae4ab4b8049930b712eee15bfd6f57783f9769df4a6fa22d58c563e77de1399a,1789119658662869541,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t040-dbce860b,eb33733e8fa5a90ceb59a665b2b737c0161936344bc2189dd98b74509d776513,1789119659018865206,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t003-0452fc71,fb24c319c8ef45d352062738bbdad057ef051ada8ec2bfe1124823acd9d221b8,1789119659366919225,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t041-2994a70e,74b78d9eebde91a511aafe347787b1f9275039b82d6ca504c74f855e03ede17f,1789119659695577171,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t004-a1a02ab6,53737bb29fe2fdb31418177092bee50b02690a2290ec0b05b63ee65ba9b22a82,1789119660055608162,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t042-18eb9ba2,71ab663e99f83dfc4594678ae2990856a18d79ac6a5a0bca940c568f560c36a8,1789119660410942785,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t005-d24a9270,762ddf384f6c069287704ced702742f07e22cef18804892835f03d2bf1657eff,1789119660738862501,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t043-3469798d,d54cfd870a4ba77e30c0ffdbec69e4c3b11f29f524eb115f04513031f1cd771c,1789119661087216482,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t006-806a292b,c82f72c97893192b801eaea9528c61e51d445d420878b0a14cc0d9534c7d9f02,1789119661442816849,True,406,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,r01-t044-569f932b,7a0701a8a042d91a539165b141f04f21f2dc2f48d02b8fd2b12ffe2bcb756b84,1789119661786972018,True,406,0,0.0,False,False
