policy,workload,rep,trials,majority_query_rate,any_query_rate,majority_interval_rate,any_interval_rate,mean_query_ratio,mean_peak_ratio,max_tail_ratio,zero_ratio_in_both_capture_orders,first_fragments,noninitial_fragments,forged_logged,forged_observed,clock_offset_range_ms,capture_order_inversions,max_capture_inversion_ms,record_order_max_orphan_ratio
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,4,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,323,323,50,50,0.000663,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,399,399,0,0,0.000569,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5630,5630,49,49,0.000759,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_MODERATE,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,0.000571,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,374,374,0,0,0.000474,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_MODERATE,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,339,339,0,0,0.000755,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,335,335,50,50,0.000567,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_HIGH,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4901,4901,49,49,0.013954,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_HIGH,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5661,5661,0,0,0.000569,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_HIGH,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4956,4956,0,0,0.000663,3,0.009283,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5673,5673,0,0,0.000749,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,400,400,50,50,0.000755,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_HIGH,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4812,4812,49,49,1701.236066,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5612,5612,0,0,1740.655852,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,1745.321866,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,342,342,0,0,1716.427823,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4855,4855,49,49,1679.562195,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_HIGH,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5009,5009,0,0,1687.63846,1,0.006726,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5636,5636,0,0,0.000851,2,0.003022,0.0
B0_OFF,ATTACK_DIVERSE_HIGH,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5152,5152,50,50,1692.936072,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,399,399,0,0,671.939006,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,397,397,50,50,0.000568,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,0.000376,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_HIGH,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5836,5836,0,0,0.000474,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5738,5738,50,50,0.000759,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4816,4816,50,50,0.000474,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,342,342,0,0,0.000562,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_MODERATE,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,339,339,0,0,0.000662,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,323,323,50,50,0.000472,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,366,366,0,0,0.000663,2,0.027112,0.0
B0_OFF,ATTACK_DIVERSE_MODERATE,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,321,321,50,50,0.000374,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_HIGH,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4854,4854,50,50,0.000476,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,6,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5657,5657,0,0,0.000565,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4859,4859,50,50,0.000759,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_HIGH,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5010,5010,0,0,0.020882,1,0.004847,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5713,5713,0,0,1688.223808,2,0.008708,0.0
B0_OFF,BENIGN_DIVERSE_MODERATE,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,342,342,0,0,1764.101185,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_HIGH,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5667,5667,0,0,1805.785422,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_MODERATE,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,1722.445769,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,321,321,50,50,1724.777041,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,400,400,50,50,0.000567,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5685,5685,50,50,0.000567,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5683,5683,0,0,0.013808,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,0.000378,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,396,396,0,0,0.000662,3,0.030162,0.0
B1_RL2_TC,ATTACK_DIVERSE_HIGH,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4816,4816,50,50,1031.658122,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,342,342,0,0,1794.890578,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,373,373,0,0,1735.043151,0,0.0,0.0
